lon,lat,id,eu_dem_v11_E40N10,eu_dem_v11_E50N20,eu_dem_v11_E20N20,eu_dem_v11_E30N10,eu_dem_v11_E40N20,eu_dem_v11_E20N10,eu_dem_v11_E50N30,eu_dem_v11_E30N20,eu_dem_v11_E50N10,eu_dem_v11_E40N30,eu_dem_v11_E30N40,eu_dem_v11_E30N30
-5.849,40.463,424777,,,926.83911,,,,,,,,,
-4.380,56.052,457549,,,,,,,,,,,,58.93367
-5.738,40.021,424782,,,408.00479,,,,,,,,,
-4.752,57.017,457538,,,,,,,,,,,,547.46204
-5.716,39.933,424783,,,250.14124,,,,,,,,,
-4.718,56.929,457539,,,,,,,,,,,,614.85895
-5.782,40.198,424780,,,614.49634,,,,,,,,,
-4.823,57.192,457536,,,,,,,,,,,,309.94666
-5.760,40.110,424781,,,826.45172,,,,,,,,,
-4.787,57.105,457537,,,,,,,,,,,,130.68246
-6.008,41.080,424770,,,772.71649,,,,,,,,,
-4.614,56.666,457542,,,,,,,,,,,,281.45084
-5.985,40.992,424771,,,840.71661,,,,,,,,,
23.322,52.428,588618,,,,,,,155.70497,,,,,
-4.580,56.579,457543,,,,,,,,,,,,649.73120
-6.054,41.256,424768,,,796.88098,,,,,,,,,
23.295,52.340,588619,,,,,,,157.24420,,,,,
-4.683,56.842,457540,,,,,,,,,,,,671.93201
-6.031,41.168,424769,,,798.56970,,,,,,,,,
23.376,52.604,588616,,,,,,,185.95668,,,,,
-4.649,56.754,457541,,,,,,,,,,,,475.41641
-5.917,40.728,424774,,,975.83459,,,,,,,,,
15.059,37.525,555850,177.01404,,,,,,,,,,,
23.349,52.516,588617,,,,,,,179.45157,,,,,
-3.968,54.910,457562,,,,,,,,,,,,66.97564
-5.894,40.639,424775,,,971.56787,,,,,,,,,
15.053,37.434,555851,10.21983,,,,,,,,,,,
23.215,52.075,588622,,,,,,,158.89165,,,,,
-3.937,54.822,457563,,,,,,,,,,,,119.05586
-5.962,40.904,424772,,,807.41455,,,,,,,,,
15.073,37.706,555848,1290.03796,,,,,,,,,,,
23.189,51.987,588623,,,,,,,146.85657,,,,,
-4.029,55.086,457560,,,,,,,,,,,,158.45811
-5.939,40.816,424773,,,827.27240,,,,,,,,,
15.066,37.616,555849,574.26117,,,,,,,,,,,
23.268,52.251,588620,,,,,,,147.10538,,,,,
-3.998,54.998,457561,,,,,,,,,,,,83.07371
-5.480,38.960,424794,,,,,,386.02753,,,,,,
15.033,37.163,555854,453.08258,,,,,,,,,,,
