"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Resource.and.Industrial_100m","Waterbody_100m","Parks.and.Recreational_100m","Government.and.Institutional_100m","Commercial_100m","Pop_100m","Roads_100m","Tot_NOx_100m","Tot_traffic_100m"
592609,5032047,107,3.165577933,34.47549422,1733.592058,200.3434605,24154.79804,0,0,0,7019.795636,0,57.72494852,260.9905385,75.97386379,827.4118566
595397,5033532,108,284.7853601,3582.728899,1530.339105,9401.96929,12933.49444,0,0,0,9039.4734,0,142.4915747,1080.722443,6834.848608,85985.4927
596441,5032672,109,1.86315469,14.3617299,0,63.65805644,31311.27908,0,0,0,0,0,73.97723812,562.5242881,44.7157127,344.6815288
596326,5033144,110,2.690263959,42.0063275,14.25760156,0,28792.43645,0,0,2582.50068,0,0,72.37679317,596.8731647,64.56633299,1008.15183
596251,5033498,111,218.5396523,665.3317584,0,3262.388253,28112.54888,0,0,0,0,0,61.59130318,904.222718,5244.951871,15967.96213
612690,5057382,201,0.62441178,7.183522135,287.0471819,0,31374.93713,0,0,0,0,0,145.3123757,525.2652622,14.98588308,172.4045379
609392,5049747,202,0.530422661,3.366801153,0,0,31374.93713,0,0,0,0,0,188.3055322,504.248554,12.73014432,80.80322739
606597,5050610,203,1.137234721,7.46295871,0,0,31374.93713,0,0,0,0,0,276.8861883,653.7261921,27.29363339,179.1110058
610291,5042026,204,22.16808941,401.5512111,9559.566892,0,30852.69563,0,0,0,522.2415042,0,464.889004,842.8024185,532.034133,9637.229186
610054,5046281,205,1.590281903,23.80512827,2107.371228,0,7303.552139,0,0,21279.92622,2791.458774,0,211.8955865,267.0438252,38.16676717,571.3230811
605420,5046110,206,15.16532125,286.4416491,3543.614832,2484.95005,28813.93999,26.38802155,0,49.65907193,0,0,177.3522232,622.5522299,363.967705,6874.599491
602558,5041835,207,4.876015246,34.27913738,2112.913163,0,24824.54299,0,0,0,6550.394141,0,142.2615343,590.243606,117.0243664,822.699288
598844,5041746,208,7.038108444,90.94634324,0,0,31374.93713,0,0,0,0,0,112.6913967,811.6793608,168.914606,2182.712237
